Company Name,Rating,Email,Phone,Website,Opportunity Score,Outreach Draft
"NYC Personal Injury Champions",4.9,info@nycinjurychampions.com,+1-212-555-0587,https://nycinjurychampions.com,10,"Hi there! I noticed your personal injury practice in NYC has excellent reviews. I help law firms get found in AI search results like ChatGPT and Perplexity, which is increasingly important for client acquisition. Would you be interested in seeing how this could benefit your firm?"
"LA Family Law Associates",4.8,contact@lafamilylaw.com,+1-310-555-0542,https://lafamilylaw.com,9,"Hi there! I noticed your family law focus in LA. I help law firms optimize for AI search engines that potential clients increasingly use for service discovery. Would you like to see how this could bring you more family law cases?"
"Chicago Business Legal Group",4.7,sales@chicagobusinesslegal.com,+1-312-555-0567,https://chicagobusinesslegal.com,8,"Hi there! I noticed your business law practice in Chicago. I specialize in helping law firms get found in AI search results like ChatGPT and Claude. Would you be interested in learning more?"
"Houston Criminal Defense Pros",4.9,hello@houstondfenselaw.com,+1-713-555-0578,https://houstondfenselaw.com,10,"Hi there! I noticed your criminal defense specialization in Houston. I help law firms get found in AI search engines which is crucial for time-sensitive legal services. Would you like to see how this works?"
"Phoenix Estate Planning Experts",4.6,info@phoenixestateplan.com,+1-602-555-0589,https://phoenixestateplan.com,8,"Hi there! I noticed your estate planning focus in Phoenix. I help law practices optimize for AI search engines like ChatGPT and Google AI Overviews. Would you be interested in learning more?"
"Philadelphia Workers Comp",4.8,contact@phillyworkerscomp.com,+1-215-555-0590,https://phillyworkerscomp.com,9,"Hi there! I specialize in helping workers compensation firms get found in AI search results. I noticed your Philadelphia practice has great reviews but could be getting more visibility in AI searches. Would you like to see how?"
"San Antonio Immigration Law",4.5,sales@sanantoniomigration.com,+1-210-555-0501,https://sanantoniomigration.com,7,"Hi there! I help immigration law practices optimize for AI search engines. I noticed your San Antonio firm has good local presence. Would you be interested in learning about AI search optimization?"
"San Diego Corporate Counsel",4.7,hello@sdcorporatelaw.com,+1-858-555-0512,https://sdcorporatelaw.com,8,"Hi there! I noticed your corporate law services in San Diego. I help law firms get found in AI engines like ChatGPT and Perplexity. Would you be interested in learning more?"
"Dallas Medical Malpractice",4.6,contact@dallasmedmal.com,+1-469-555-0523,https://dallasmedmal.com,8,"Hi there! I specialize in AI search optimization for medical malpractice firms. I noticed your Dallas practice has good reputation. Would you like to see how we can get you in AI search results?"
"San Jose Employment Law",4.8,info@sjemploymentlaw.com,+1-408-555-0534,https://sjemploymentlaw.com,9,"Hi there! I help employment law practices get found in AI search engines. I noticed your San Jose practice serves businesses. Would you like to see how AI search could bring you more corporate clients?"
