Company Name,Rating,Email,Phone,Website,Opportunity Score,Outreach Draft
"Metropolitan Plumbing Services",4.9,info@metroplumbing.com,+1-212-555-0287,https://metroplumbing.com,10,"Hi there! I noticed your excellent reputation in NYC plumbing services. I specialize in helping plumbing companies like yours get found in AI search results like ChatGPT and Perplexity. Would you be interested in seeing how we can boost your AI visibility?"
"LA Emergency Plumbers",4.7,contact@laemergencyplumbing.com,+1-310-555-0242,https://laemergencyplumbing.com,9,"Hi there! I noticed your emergency plumbing services in LA. I help plumbing companies get found in AI search engines like ChatGPT and Google AI Overviews. Would you like to see how this could bring you more emergency calls?"
"Manhattan Drain Masters",4.8,sales@manhattandrains.com,+1-212-555-0299,https://manhattandrains.com,9,"Hi there! I noticed your expertise with drain services in Manhattan. I specialize in AI search optimization for plumbing companies. I'd love to show you how we can get you appearing in AI search results."
"Greater LA Pipe Pros",4.5,hello@greaterlapipes.com,+1-310-555-0223,https://greaterlapipes.com,8,"Hi there! I noticed your plumbing company serves the greater LA area. I help plumbers get found in AI engines like ChatGPT and Claude. Would you be interested in learning more?"
"NYC Water Works Experts",4.8,info@nycwaterworks.com,+1-212-555-0256,https://nycwaterworks.com,9,"Hi there! I specialize in helping plumbing companies get found in AI search results. I noticed your NYC water services have great reviews but could be getting more visibility in AI searches. Would you like to see how?"
"Chicago Pipe Repair Pros",4.6,contact@chicagopipes.com,+1-312-555-0267,https://chicagopipes.com,8,"Hi there! I help plumbing companies get found in AI search engines like ChatGPT and Perplexity. I noticed your Chicago business has strong local presence. Would you be interested in expanding to AI search traffic?"
"Texas Water Solutions",4.7,info@texaswatersolutions.com,+1-713-555-0278,https://texaswatersolutions.com,9,"Hi there! I noticed your plumbing company serves Texas. I specialize in AI search optimization that helps plumbers get found in ChatGPT, Perplexity, and Google AI Overviews. Would you like to see how this works?"
"Pacific Northwest Plumbing",4.4,sales@pnwplumbing.com,+1-206-555-0289,https://pnwplumbing.com,7,"Hi there! I help plumbing companies optimize for AI search engines. I noticed your Pacific Northwest business has good local presence. Would you be interested in learning about AI search optimization?"
"Midwest Pipe Masters",4.6,hello@midwestpipes.com,+1-312-555-0290,https://midwestpipes.com,8,"Hi there! I specialize in AI search optimization for plumbing companies. I noticed your Midwest business has strong reputation. Would you like to see how we can get you in AI search results?"
"Florida Flow Experts",4.5,contact@floridaflow.com,+1-305-555-0201,https://floridaflow.com,7,"Hi there! I help plumbing companies get found in AI search engines like ChatGPT and Claude. I noticed your Florida company serves the sunshine state. Would you be interested in learning more?"
