Company Name,Rating,Email,Phone,Website,Opportunity Score,Outreach Draft
"Elite Climate Solutions NYC",4.8,info@eliteclimate.com,+1-212-555-0187,https://eliteclimate.com,9,"Hi there! I noticed your website doesn't have any structured data markup. I specialize in helping HVAC companies like yours get found by AI search engines like ChatGPT and Perplexity. I'd love to show you how we can get you appearing in AI search results."
"Reliable Heat & Air LA",4.6,contact@reliableheat.com,+1-310-555-0142,https://reliableheat.com,8,"Hi there! I noticed your HVAC company serves the LA area. I help HVAC businesses get found in AI search results like ChatGPT and Google AI Overviews. Would you be interested in seeing how this could bring you more customers?"
"Manhattan Cooling Experts",4.9,sales@manhattancooling.com,+1-212-555-0199,https://manhattancooling.com,9,"Hi there! I noticed your excellent reputation in Manhattan for cooling services. I specialize in AI search optimization for HVAC companies. I'd love to show you how we can get you appearing in ChatGPT and Perplexity searches."
"LA Comfort Systems",4.4,hello@lacooling.com,+1-310-555-0123,https://lacooling.com,7,"Hi there! I noticed your website could benefit from AI search optimization. I help HVAC companies get found in AI engines like ChatGPT and Claude. Would you be interested in learning more?"
"NYC Temperature Control",4.7,info@nyc-temp.com,+1-212-555-0156,https://nyc-temp.com,8,"Hi there! I specialize in helping HVAC companies get found in AI search results. I noticed your NYC company has great reviews but could be getting more visibility in AI searches. Would you like to see how?"
"Chicago Climate Masters",4.5,contact@chicagoclimate.com,+1-312-555-0167,https://chicagoclimate.com,7,"Hi there! I help HVAC companies get found in AI search engines like ChatGPT and Perplexity. I noticed your Chicago business has strong local presence. Would you be interested in expanding to AI search traffic?"
"Texas Thermostat Pros",4.6,info@texaspros.com,+1-713-555-0178,https://texaspros.com,8,"Hi there! I noticed your HVAC company serves Texas. I specialize in AI search optimization that helps HVAC companies get found in ChatGPT, Perplexity, and Google AI Overviews. Would you like to see how this works?"
"West Coast Air Specialists",4.3,sales@westcoastair.com,+1-415-555-0189,https://westcoastair.com,6,"Hi there! I help HVAC companies optimize for AI search engines. I noticed your West Coast business has good local presence. Would you be interested in learning about AI search optimization?"
"Northeast HVAC Solutions",4.7,hello@northeasthvacs.com,+1-617-555-0190,https://northeasthvacs.com,8,"Hi there! I specialize in AI search optimization for HVAC companies. I noticed your Northeast business has strong reputation. Would you like to see how we can get you in AI search results?"
"Sunshine State Climate",4.5,contact@sunshineclimate.com,+1-305-555-0101,https://sunshineclimate.com,7,"Hi there! I help HVAC companies get found in AI search engines like ChatGPT and Claude. I noticed your Florida company serves the sunshine state. Would you be interested in learning more?"
