Company Name,Rating,Email,Phone,Website,Opportunity Score,Outreach Draft
"Manhattan Luxury Med Spa",4.9,info@manhattanluxurymedspa.com,+1-212-555-0687,https://manhattanluxurymedspa.com,10,"Hi there! I noticed your luxury med spa in Manhattan has excellent reviews. I help med spas get found in AI search results like ChatGPT and Perplexity, which is increasingly important for attracting premium clients. Would you be interested in seeing how we can boost your AI visibility?"
"LA Aesthetic Excellence",4.8,contact@laaestheticexcellence.com,+1-310-555-0642,https://laaestheticexcellence.com,9,"Hi there! I noticed your focus on aesthetic treatments in LA. I help med spas optimize for AI search engines that potential clients increasingly use for service discovery. Would you like to see how this could bring you more premium clients?"
"Chicago Wellness Center",4.7,sales@chicagowellnesscenter.com,+1-312-555-0667,https://chicagowellnesscenter.com,8,"Hi there! I noticed your wellness services in Chicago. I specialize in helping med spas get found in AI search results like ChatGPT and Claude. Would you be interested in learning more?"
"Houston Beauty Institute",4.9,hello=houstonbeautyinstitute.com,+1-713-555-0678,https://houstonbeautyinstitute.com,10,"Hi there! I noticed your beauty specialization in Houston. I help med spas get found in AI search engines which is crucial for premium aesthetic services. Would you like to see how this works?"
"Phoenix Anti-Aging Clinic",4.6,info@phoenixantiaging.com,+1-602-555-0689,https://phoenixantiaging.com,8,"Hi there! I noticed your anti-aging focus in Phoenix. I help med spas optimize for AI search engines like ChatGPT and Google AI Overviews. Would you be interested in learning more?"
"Philadelphia Rejuvenation Center",4.8,contact@phillyrejuvenation.com,+1-215-555-0690,https://phillyrejuvenation.com,9,"Hi there! I specialize in helping rejuvenation centers get found in AI search results. I noticed your Philadelphia practice has great reviews but could be getting more visibility in AI searches. Would you like to see how?"
"San Antonio Cosmetic Clinic",4.5,sales=sanantonioesthetic.com,+1-210-555-0601,https://sanantonioesthetic.com,7,"Hi there! I help cosmetic clinics optimize for AI search engines. I noticed your San Antonio clinic has good local presence. Would you be interested in learning about AI search optimization?"
"San Diego Wellness Institute",4.7,hello=sdwellnessinstitute.com,+1-858-555-0612,https://sdwellnessinstitute.com,8,"Hi there! I noticed your wellness services in San Diego. I help med spas get found in AI engines like ChatGPT and Perplexity. Would you be interested in learning more?"
"Dallas Luxury Skin Care",4.6,contact=dallasluxuryskin.com,+1-469-555-0623,https://dallasluxuryskin.com,8,"Hi there! I specialize in AI search optimization for luxury skin care clinics. I noticed your Dallas practice has good reputation. Would you like to see how we can get you in AI search results?"
"San Jose Aesthetic Clinic",4.8,info=sjestheticclinic.com,+1-408-555-0634,https://sjestheticclinic.com,9,"Hi there! I help aesthetic clinics get found in AI search engines. I noticed your San Jose practice serves premium clients. Would you like to see how AI search could bring you more high-value appointments?"
