Company Name,Rating,Email,Phone,Website,Opportunity Score,Outreach Draft
"Power Solutions NYC",4.8,info@powersolutionsnyc.com,+1-212-555-0387,https://powersolutionsnyc.com,9,"Hi there! I noticed your electrical services in NYC. I specialize in helping electrical companies like yours get found in AI search results like ChatGPT and Perplexity. Would you be interested in seeing how we can boost your AI visibility?"
"LA Circuit Masters",4.7,contact@lacircuitmasters.com,+1-310-555-0342,https://lacircuitmasters.com,8,"Hi there! I noticed your electrical company serves LA. I help electrical businesses get found in AI search engines like ChatGPT and Google AI Overviews. Would you like to see how this could bring you more customers?"
"Manhattan Wiring Pros",4.9,sales@manhattanwiring.com,+1-212-555-0399,https://manhattanwiring.com,10,"Hi there! I noticed your expertise with wiring services in Manhattan. I specialize in AI search optimization for electrical companies. I'd love to show you how we can get you appearing in AI search results."
"California Current Control",4.5,hello@californiacurrent.com,+1-310-555-0323,https://californiacurrent.com,7,"Hi there! I noticed your electrical company serves California. I help electricians get found in AI engines like ChatGPT and Claude. Would you be interested in learning more about AI search optimization?"
"Empire State Electric",4.8,info@empirestateelectric.com,+1-212-555-0356,https://empirestateelectric.com,9,"Hi there! I specialize in helping electrical companies get found in AI search results. I noticed your NY electrical services have great reviews but could be getting more visibility in AI searches. Would you like to see how?"
"Chicago Power Pros",4.6,contact@chicagopower.com,+1-312-555-0367,https://chicagopower.com,8,"Hi there! I help electrical companies get found in AI search engines like ChatGPT and Perplexity. I noticed your Chicago business has strong local presence. Would you be interested in expanding to AI search traffic?"
"Lone Star Electrical",4.7,info@lonstarelectrical.com,+1-713-555-0378,https://lonstarelectrical.com,9,"Hi there! I noticed your electrical company serves Texas. I specialize in AI search optimization that helps electricians get found in ChatGPT, Perplexity, and Google AI Overviews. Would you like to see how this works?"
"Northwest Wiring Specialists",4.4,sales@nwiringspecialists.com,+1-206-555-0389,https://nwiringspecialists.com,7,"Hi there! I help electrical companies optimize for AI search engines. I noticed your Northwest business has good local presence. Would you be interested in learning about AI search optimization?"
"Rocky Mountain Electric",4.6,hello@rockymountainelectric.com,+1-303-555-0390,https://rockymountainelectric.com,8,"Hi there! I specialize in AI search optimization for electrical companies. I noticed your Rocky Mountain business has strong reputation. Would you like to see how we can get you in AI search results?"
"Sunny State Switches",4.5,contact@sunnystateswitches.com,+1-305-555-0301,https://sunnystateswitches.com,7,"Hi there! I help electrical companies get found in AI search engines like ChatGPT and Claude. I noticed your Florida company serves the sunshine state. Would you be interested in learning more?"
