Company Name,Rating,Email,Phone,Website,Opportunity Score,Outreach Draft
"Manhattan Dental Excellence",4.9,info@manhattandental.com,+1-212-555-0487,https://manhattandental.com,9,"Hi there! I noticed your dental practice in Manhattan has excellent reviews. I help dental offices get found in AI search results like ChatGPT and Perplexity, which is increasingly important for patient acquisition. Would you be interested in seeing how this could benefit your practice?"
"LA Cosmetic Dentistry",4.8,contact@lacometicdentistry.com,+1-310-555-0442,https://lacometicdentistry.com,9,"Hi there! I noticed your focus on cosmetic dentistry in LA. I help dental practices optimize for AI search engines that patients increasingly use for service discovery. Would you like to see how this could bring you more cosmetic procedure inquiries?"
"Chicago Family Smiles",4.7,sales@chicagofamilysmiles.com,+1-312-555-0467,https://chicagofamilysmiles.com,8,"Hi there! I noticed your family dental practice in Chicago. I specialize in helping dental offices get found in AI search results like ChatGPT and Claude. Would you be interested in learning more?"
"Texas Implant Center",4.9,hello@texasimplantcenter.com,+1-713-555-0478,https://texasimplantcenter.com,10,"Hi there! I noticed your dental implant specialization in Texas. I help dental practices get found in AI search engines which is crucial for high-value services like implants. Would you like to see how this works?"
"Phoenix Aesthetic Dentistry",4.6,info@phoenixaesthetic.com,+1-602-555-0489,https://phoenixaesthetic.com,8,"Hi there! I noticed your aesthetic dentistry focus in Phoenix. I help dental practices optimize for AI search engines like ChatGPT and Google AI Overviews. Would you be interested in learning more?"
"Philadelphia Orthodontics",4.8,contact@phillyortho.com,+1-215-555-0490,https://phillyortho.com,9,"Hi there! I specialize in helping orthodontic practices get found in AI search results. I noticed your Philadelphia practice has great reviews but could be getting more visibility in AI searches. Would you like to see how?"
"San Antonio Smile Clinic",4.5,sales@santasmile.com,+1-210-555-0401,https://santasmile.com,7,"Hi there! I help dental practices optimize for AI search engines. I noticed your San Antonio clinic has good local presence. Would you be interested in learning about AI search optimization?"
"San Diego Dental Specialists",4.7,hello@sddentalspecs.com,+1-858-555-0412,https://sddentalspecs.com,8,"Hi there! I noticed your dental specialization in San Diego. I help dental offices get found in AI engines like ChatGPT and Perplexity. Would you be interested in learning more?"
"Dallas Whitening Experts",4.6,contact@dallaswhite.com,+1-469-555-0423,https://dallaswhite.com,8,"Hi there! I specialize in AI search optimization for dental practices. I noticed your Dallas whitening services have good reputation. Would you like to see how we can get you in AI search results?"
"San Jose Pediatric Dentistry",4.8,info@sjpediatricdent.com,+1-408-555-0434,https://sjpediatricdent.com,9,"Hi there! I help pediatric dental practices get found in AI search engines. I noticed your San Jose practice serves families. Would you like to see how AI search could bring you more parents?"
